[09-28 09:28:18]can't find pointer map[magicsea], keep former map!
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]can't find pointer map[garner], keep former map!
[12-02 15:43:55]can't find pointer map[darkblue], keep former map!
[12-02 15:43:55]can't find pointer map[lonetower], keep former map!
[12-02 15:43:55]can't find pointer map[secretgarden], keep former map!
[12-02 15:43:55]can't find pointer map[secretgarden], keep former map!
[12-02 15:43:55]can't find pointer map[secretgarden], keep former map!
[12-02 15:43:55]can't find pointer map[eastgoaf], keep former map!
[12-02 15:43:55]can't find pointer map[guildwar], keep former map!
[12-02 15:43:55]can't find pointer map[guildwar2], keep former map!
[12-02 15:43:55]can't find pointer map[guildwar], keep former map!
[12-02 15:43:55]can't find pointer map[guildwar2], keep former map!
[12-02 15:43:55]can't find pointer map[07xmas2], keep former map!
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]create character failed
[06-06 16:02:56]can't find pointer map[garner], keep former map!
[06-06 16:02:56]can't find pointer map[darkblue], keep former map!
[06-06 16:02:56]can't find pointer map[lonetower], keep former map!
[06-06 16:02:56]can't find pointer map[secretgarden], keep former map!
[06-06 16:02:56]can't find pointer map[secretgarden], keep former map!
[06-06 16:02:56]can't find pointer map[secretgarden], keep former map!
[06-06 16:02:56]can't find pointer map[eastgoaf], keep former map!
[06-06 16:02:56]can't find pointer map[guildwar], keep former map!
[06-06 16:02:56]can't find pointer map[guildwar2], keep former map!
[06-06 16:02:56]can't find pointer map[guildwar], keep former map!
[06-06 16:02:56]can't find pointer map[guildwar2], keep former map!
[06-06 16:02:56]can't find pointer map[07xmas2], keep former map!
